id_ticket,fecha,id_empleado,id_agente,categoría,tipo,severidad,prioridad,días_resolución,satisfacción,semestre
GDDENR-5042564453,2016-07-13,1735.0,4.0,Acceso&%Login,Problema,0 - Sin Clasificar,0 - Sin Asignar,0.0,5.0,2º semestre
GDDENR-8042508060,2016-05-18,1566.0,10.0,Acceso&%Login,Problema,0 - Sin Clasificar,0 - Sin Asignar,0.0,5.0,1er semestre
GDDESR-1342539995,2016-06-18,569.0,29.0,Sistema,Problema,0 - Sin Clasificar,0 - Sin Asignar,3.0,5.0,1er semestre
GDDTSR-5942488006,2016-04-28,320.0,40.0,Sistema,Solicitud,0 - Sin Clasificar,0 - Sin Asignar,9.0,5.0,1er semestre
GDLEER-0042524120,2016-06-03,1842.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLEER-0142608095,2016-08-26,59.0,20.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,2º semestre
GDLEER-0242564650,2016-07-13,1175.0,36.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,1.0,2º semestre
GDLEER-0542574815,2016-07-23,561.0,18.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,2º semestre
GDLEER-0842457219,2016-03-28,71.0,12.0,Software,Problema,2 - Normal,0 - Sin Asignar,8.0,5.0,1er semestre
GDLEER-1242542213,2016-06-21,1831.0,42.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,1er semestre
GDLEER-1342611596,2016-08-29,1049.0,5.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEER-1442518153,2016-05-28,1845.0,21.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,1er semestre
GDLEER-2142385152,2016-01-16,1825.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,1er semestre
GDLEER-2342642781,2016-09-29,468.0,17.0,Software,Problema,4 - Crítico,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEER-2342666259,2016-10-23,915.0,2.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEER-2342731423,2016-12-27,422.0,24.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,10.0,5.0,2º semestre
GDLEER-2442674384,2016-10-31,78.0,23.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,2º semestre
GDLEER-3042595564,2016-08-13,1106.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLEER-3042628638,2016-09-15,1863.0,46.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,2º semestre
GDLEER-3042666351,2016-10-23,1915.0,43.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,4.0,2º semestre
GDLEER-3042712706,2016-12-08,140.0,27.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLEER-3042727271,2016-12-23,1207.0,2.0,Software,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLEER-3142699894,2016-11-25,979.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,2º semestre
GDLEER-3242515550,2016-05-25,795.0,45.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,1er semestre
GDLEER-3342606218,2016-08-24,821.0,32.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEER-3542665966,2016-10-22,1996.0,29.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,2º semestre
GDLEER-3642442879,2016-03-13,1547.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,1er semestre
GDLEER-3742656857,2016-10-13,1025.0,18.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,2º semestre
GDLEER-4042683896,2016-11-09,1469.0,38.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,13.0,5.0,2º semestre
GDLEER-4342489822,2016-04-29,492.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEER-4842380395,2016-01-11,199.0,33.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,16.0,5.0,1er semestre
GDLEER-4942636742,2016-09-23,1474.0,27.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,2º semestre
GDLEER-5142678759,2016-11-04,1255.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,2º semestre
GDLEER-5242634706,2016-09-21,170.0,27.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,2º semestre
GDLEER-5342415520,2016-02-15,1522.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEER-5542645174,2016-10-02,1657.0,41.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,2º semestre
GDLEER-5542655350,2016-10-12,1985.0,3.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,2º semestre
GDLEER-5642630998,2016-09-17,1969.0,9.0,Software,Problema,4 - Crítico,0 - Sin Asignar,6.0,1.0,2º semestre
GDLEER-5742437983,2016-03-08,1978.0,9.0,Software,Problema,2 - Normal,0 - Sin Asignar,7.0,1.0,1er semestre
GDLEER-5842678281,2016-11-04,208.0,2.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,8.0,5.0,2º semestre
GDLEER-6242606897,2016-08-24,859.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,2º semestre
GDLEER-6342371191,2016-01-02,439.0,41.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEER-6542472842,2016-04-12,514.0,38.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,1er semestre
GDLEER-7242378136,2016-01-09,973.0,41.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,1er semestre
GDLEER-7242415805,2016-02-15,260.0,8.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,1er semestre
GDLEER-7342441622,2016-03-12,492.0,36.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEER-7442377755,2016-01-08,1905.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,4.0,5.0,1er semestre
GDLEER-7542412443,2016-02-12,1934.0,24.0,Software,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,1er semestre
GDLEER-7942651554,2016-10-08,955.0,25.0,Software,Problema,2 - Normal,0 - Sin Asignar,9.0,1.0,2º semestre
GDLEER-8242657344,2016-10-14,564.0,33.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,2º semestre
GDLEER-9242649952,2016-10-06,225.0,39.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,2º semestre
GDLEER-9342711505,2016-12-07,420.0,15.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEET-1142646933,2016-10-03,1523.0,29.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,2º semestre
GDLEET-1342615230,2016-09-02,133.0,12.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,2º semestre
GDLEET-3242634214,2016-09-21,1871.0,32.0,Software,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,2º semestre
GDLEET-3642380865,2016-01-11,906.0,8.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,1er semestre
GDLEET-4642626740,2016-09-13,304.0,17.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,2º semestre
GDLEET-4642637748,2016-09-24,644.0,17.0,Software,Problema,2 - Normal,0 - Sin Asignar,6.0,5.0,2º semestre
GDLEET-5742695359,2016-11-21,1425.0,3.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,17.0,5.0,2º semestre
GDLEET-6142589667,2016-08-07,146.0,16.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,2º semestre
GDLEET-6342503137,2016-05-13,133.0,31.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,1.0,1er semestre
GDLEET-7542371023,2016-01-02,1902.0,40.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,1.0,1er semestre
GDLEET-7542513586,2016-05-23,1958.0,15.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,1er semestre
GDLEET-7742629769,2016-09-16,1006.0,47.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,2º semestre
GDLEET-7842705497,2016-12-01,1659.0,4.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,17.0,5.0,2º semestre
GDLEET-8142386963,2016-01-17,376.0,39.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,1er semestre
GDLEET-8342380553,2016-01-11,995.0,25.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEET-8742683735,2016-11-09,1013.0,27.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,7.0,5.0,2º semestre
GDLEET-8942397489,2016-01-28,488.0,14.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,9.0,5.0,1er semestre
GDLEET-9142564081,2016-07-13,1218.0,10.0,Software,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,2º semestre
GDLEET-9342397848,2016-01-28,104.0,48.0,Software,Problema,2 - Normal,0 - Sin Asignar,3.0,5.0,1er semestre
GDLEET-9542639332,2016-09-26,93.0,23.0,Hardware,Problema,2 - Normal,0 - Sin Asignar,5.0,5.0,2º semestre
GDLENR-0042442958,2016-03-13,295.0,39.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-0042458396,2016-03-29,1199.0,23.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-1042392759,2016-01-23,1755.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-1042484815,2016-04-24,711.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-1042487695,2016-04-27,1279.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-1042508223,2016-05-18,322.0,2.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-1042665803,2016-10-22,2000.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-1042686934,2016-11-12,123.0,9.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-1042706123,2016-12-02,852.0,31.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-2042407414,2016-02-07,1931.0,24.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-2042589856,2016-08-07,1305.0,48.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-2042707447,2016-12-03,1074.0,4.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,1.0,2º semestre
GDLENR-2042723756,2016-12-19,1275.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-2142503103,2016-05-13,1070.0,41.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,1er semestre
GDLENR-3042406506,2016-02-06,410.0,25.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-3042421854,2016-02-21,1715.0,38.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-3042434294,2016-03-05,1969.0,42.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-3042455761,2016-03-26,1816.0,37.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-3042547176,2016-06-26,1307.0,21.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-3042668609,2016-10-25,890.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-3042686112,2016-11-12,511.0,21.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-3142523579,2016-06-02,1977.0,35.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,1er semestre
GDLENR-4042373567,2016-01-04,966.0,15.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-4042390443,2016-01-21,124.0,24.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-4042563537,2016-07-12,1323.0,35.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042572365,2016-07-21,1496.0,23.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042625591,2016-09-12,879.0,45.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042626020,2016-09-13,222.0,40.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042668397,2016-10-25,1109.0,23.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042676763,2016-11-02,1946.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042698294,2016-11-24,1619.0,12.0,Acceso&%Login,Problema,4 - Crítico,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4042702792,2016-11-28,1649.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-4142431442,2016-03-02,1864.0,34.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,5.0,1er semestre
GDLENR-4142541882,2016-06-20,178.0,28.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,1.0,1.0,1er semestre
GDLENR-4242537019,2016-06-16,1691.0,40.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,2.0,5.0,1er semestre
GDLENR-5042408558,2016-02-08,1905.0,5.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-5042423792,2016-02-23,979.0,27.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-5042469459,2016-04-09,1815.0,34.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-5042538073,2016-06-17,1657.0,30.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,1er semestre
GDLENR-5042567651,2016-07-16,815.0,36.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-5042593156,2016-08-11,1615.0,1.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-5042638718,2016-09-25,621.0,17.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
GDLENR-5042701899,2016-11-27,1519.0,8.0,Acceso&%Login,Problema,2 - Normal,0 - Sin Asignar,0.0,5.0,2º semestre
